id,name,lat,lng,own,date
31,阿拳悼031,35.1777692,126.936646,堡林堡开矫 合备没,2020-06-30
32,阿拳悼032,35.177831,126.936425,堡林堡开矫 合备没,2020-06-30
33,阿拳悼033,35.177937,126.936117,堡林堡开矫 合备没,2020-06-30
34,阿拳悼034,35.178051,126.935819,堡林堡开矫 合备没,2020-06-30
35,阿拳悼035,35.177881,126.935953,堡林堡开矫 合备没,2020-06-30
36,阿拳悼036,35.177688,126.936504,堡林堡开矫 合备没,2020-06-30
37,阿拳悼037,35.177831,126.937359,堡林堡开矫 合备没,2020-06-30
38,阿拳悼038,35.178058,126.937553,堡林堡开矫 合备没,2020-06-30
39,阿拳悼040,35.178341,126.9387085,堡林堡开矫 合备没,2020-06-30
40,阿拳悼041,35.178682,126.939895,堡林堡开矫 合备没,2020-06-30
41,阿拳悼054,35.181473,126.939529,堡林堡开矫 合备没,2020-06-30
42,阿拳悼055,35.181723,126.939251,堡林堡开矫 合备没,2020-06-30
43,阿拳悼066,35.178562,126.941587,堡林堡开矫 合备没,2020-06-30
44,阿拳悼067,35.178835,126.941968,堡林堡开矫 合备没,2020-06-30
45,阿拳悼068,35.179042,126.942975,堡林堡开矫 合备没,2020-06-30
46,阿拳悼069,35.179361,126.944321,堡林堡开矫 合备没,2020-06-30
47,阿拳悼070,35.179438,126.944957,堡林堡开矫 合备没,2020-06-30
48,阿拳悼071,35.179524,126.945428,堡林堡开矫 合备没,2020-06-30
49,阿拳悼074,35.182378,126.932721,堡林堡开矫 合备没,2020-06-30
50,阿拳悼080,35.181552,126.938287,堡林堡开矫 合备没,2020-06-30
51,阿拳悼081,35.181623,126.938067,堡林堡开矫 合备没,2020-06-30
52,阿拳悼082,35.1843972,126.9378176,堡林堡开矫 合备没,2020-06-30
53,阿拳悼083,35.184468,126.9375371,堡林堡开矫 合备没,2020-06-30
54,阿拳悼084,35.184517,126.937195,堡林堡开矫 合备没,2020-06-30
55,阿拳悼085,35.184667,126.936798,堡林堡开矫 合备没,2020-06-30
56,阿拳悼087,35.184421,126.936428,堡林堡开矫 合备没,2020-06-30
57,阿拳悼088,35.184806,126.936159,堡林堡开矫 合备没,2020-06-30
58,阿拳悼089,35.184865,126.935752,堡林堡开矫 合备没,2020-06-30
59,阿拳悼090,35.184962,126.935465,堡林堡开矫 合备没,2020-06-30
60,阿拳悼091,35.1851928,126.9348905,堡林堡开矫 合备没,2020-06-30
61,阿拳悼092,35.185136,126.934694,堡林堡开矫 合备没,2020-06-30
62,阿拳悼093,35.185213,126.934309,堡林堡开矫 合备没,2020-06-30
63,阿拳悼094,35.1851928,126.933968,堡林堡开矫 合备没,2020-06-30
64,阿拳悼095,35.185388,126.933626,堡林堡开矫 合备没,2020-06-30
65,阿拳悼096,35.185456,126.933252,堡林堡开矫 合备没,2020-06-30
66,阿拳悼097,35.181411,126.935512,堡林堡开矫 合备没,2020-06-30
67,阿拳悼098,35.182143,126.9324397,堡林堡开矫 合备没,2020-06-30
68,阿拳悼099,35.181872,126.932574,堡林堡开矫 合备没,2020-06-30
69,阿拳悼100,35.182248,126.932251,堡林堡开矫 合备没,2020-06-30
70,阿拳悼101,35.182595,126.932806,堡林堡开矫 合备没,2020-06-30
71,阿拳悼102,35.182794,126.932848,堡林堡开矫 合备没,2020-06-30
72,阿拳悼103,35.183077,126.932229,堡林堡开矫 合备没,2020-06-30
73,阿拳悼104,35.182923,126.932154,堡林堡开矫 合备没,2020-06-30
74,阿拳悼105,35.181767,126.929897,堡林堡开矫 合备没,2020-06-30
75,阿拳悼106,35.181945,126.929653,堡林堡开矫 合备没,2020-06-30
76,阿拳悼107,35.182274,126.929143,堡林堡开矫 合备没,2020-06-30
77,阿拳悼108,35.182542,126.9296426,堡林堡开矫 合备没,2020-06-30
78,阿拳悼109,35.1827123,126.9294163,堡林堡开矫 合备没,2020-06-30
79,阿拳悼110,35.179346,126.944684,堡林堡开矫 合备没,2020-06-30
80,阿拳悼111,35.179676,126.946326,堡林堡开矫 合备没,2020-06-30
81,阿拳悼112,35.182126,126.928684,堡林堡开矫 合备没,2020-06-30
82,阿拳悼113,35.181956,126.928851,堡林堡开矫 合备没,2020-06-30
83,阿拳悼114,35.181933,126.929236,堡林堡开矫 合备没,2020-06-30
84,阿拳悼115,35.181608,126.929273,堡林堡开矫 合备没,2020-06-30
85,阿拳悼116,35.181265,126.931177,堡林堡开矫 合备没,2020-06-30
86,阿拳悼117,35.1809035,126.931051,堡林堡开矫 合备没,2020-06-30
87,阿拳悼118,35.180642,126.931053,堡林堡开矫 合备没,2020-06-30
88,阿拳悼119,35.180097,126.9317841,堡林堡开矫 合备没,2020-06-30
89,阿拳悼120,35.180158,126.931444,堡林堡开矫 合备没,2020-06-30
90,阿拳悼121,35.180277,126.931596,堡林堡开矫 合备没,2020-06-30
91,阿拳悼122,35.180279,126.931815,堡林堡开矫 合备没,2020-06-30
92,阿拳悼123,35.180638,126.931646,堡林堡开矫 合备没,2020-06-30
93,阿拳悼124,35.180479,126.932043,堡林堡开矫 合备没,2020-06-30
94,阿拳悼125(胶付飘),35.180675,126.931766,堡林堡开矫 合备没,2020-06-30
95,阿拳悼126,35.180829,126.931841,堡林堡开矫 合备没,2020-06-30
96,阿拳悼127,35.1810852,126.9318142,堡林堡开矫 合备没,2020-06-30
97,阿拳悼128,35.1809589,126.9323774,堡林堡开矫 合备没,2020-06-30
98,阿拳悼129,35.181013,126.933354,堡林堡开矫 合备没,2020-06-30
99,阿拳悼130,35.180651,126.933183,堡林堡开矫 合备没,2020-06-30
100,阿拳悼131,35.180308,126.933045,堡林堡开矫 合备没,2020-06-30
101,阿拳悼132,35.180304,126.932638,堡林堡开矫 合备没,2020-06-30
102,阿拳悼133,35.180233,126.932793,堡林堡开矫 合备没,2020-06-30
103,阿拳悼134(胶付飘),35.179901,126.932973,堡林堡开矫 合备没,2020-06-30
104,阿拳悼135,35.180058,126.933388,堡林堡开矫 合备没,2020-06-30
105,阿拳悼136,35.179175,126.9376161,堡林堡开矫 合备没,2020-06-30
106,阿拳悼137,35.179517,126.937468,堡林堡开矫 合备没,2020-06-30
107,阿拳悼138,35.179805,126.937399,堡林堡开矫 合备没,2020-06-30
108,阿拳悼139,35.1822679,126.9385165,堡林堡开矫 合备没,2020-06-30
109,阿拳悼140,35.182464,126.939461,堡林堡开矫 合备没,2020-06-30
110,阿拳悼141,35.1832309,126.9323122,堡林堡开矫 合备没,2020-06-30
111,阿拳悼142,35.1821834,126.9300822,堡林堡开矫 合备没,2020-06-30
112,阿拳悼143,35.1823416,126.9382656,堡林堡开矫 合备没,2020-06-30
113,陛邦悼001,35.170587,126.998192,堡林堡开矫 合备没,2020-06-30
114,陛邦悼002,35.170238,126.998459,堡林堡开矫 合备没,2020-06-30
115,陛邦悼003,35.169836,126.998936,堡林堡开矫 合备没,2020-06-30
116,陛邦悼004,35.170035,126.9987209,堡林堡开矫 合备没,2020-06-30
117,陛邦悼005,35.170883,126.999066,堡林堡开矫 合备没,2020-06-30
118,陛邦悼006,35.1710749,126.998746,堡林堡开矫 合备没,2020-06-30
119,陛邦悼007,35.170359,126.998908,堡林堡开矫 合备没,2020-06-30
120,陛邦悼008,35.170537,126.998697,堡林堡开矫 合备没,2020-06-30
121,陛邦悼009,35.170227,126.999272,堡林堡开矫 合备没,2020-06-30
122,陛邦悼010,35.170498,126.999367,堡林堡开矫 合备没,2020-06-30
123,陛邦悼011,35.170707,126.999595,堡林堡开矫 合备没,2020-06-30
124,陛邦悼012,35.170067,126.9995974,堡林堡开矫 合备没,2020-06-30
125,陛邦悼013,35.170194,126.999733,堡林堡开矫 合备没,2020-06-30
126,陛邦悼014,35.170561,127.0003097,堡林堡开矫 合备没,2020-06-30
127,陛邦悼015,35.1706804,127.000309,堡林堡开矫 合备没,2020-06-30
128,陛邦悼016,35.171117,127.000084,堡林堡开矫 合备没,2020-06-30
129,陛邦悼017,35.170807,127.000824,堡林堡开矫 合备没,2020-06-30
130,陛邦悼018,35.171021,127.001557,堡林堡开矫 合备没,2020-06-30
131,陛邦悼019,35.170919,127.001261,堡林堡开矫 合备没,2020-06-30
132,陛邦悼020,35.170718,127.000891,堡林堡开矫 合备没,2020-06-30
133,陛邦悼021,35.170317,127.000434,堡林堡开矫 合备没,2020-06-30
134,陛邦悼022,35.169801,127.000133,堡林堡开矫 合备没,2020-06-30
135,陛邦悼024,35.1703721,126.999269,堡林堡开矫 合备没,2020-06-30
136,陛邦悼025,35.169705,126.998312,堡林堡开矫 合备没,2020-06-30
137,陛邦悼026,35.170308,126.998184,堡林堡开矫 合备没,2020-06-30
138,陛邦悼027,35.169502,126.996624,堡林堡开矫 合备没,2020-06-30
139,陛邦悼028,35.169439,126.997811,堡林堡开矫 合备没,2020-06-30
140,陛邦悼029,35.169657,126.998017,堡林堡开矫 合备没,2020-06-30
141,陛邦悼030,35.169916,126.997651,堡林堡开矫 合备没,2020-06-30
142,陛邦悼031,35.169959,126.997453,堡林堡开矫 合备没,2020-06-30
143,陛邦悼032,35.163764,126.983018,堡林堡开矫 合备没,2020-06-30
144,陛邦悼033,35.163937,126.983323,堡林堡开矫 合备没,2020-06-30
145,陛邦悼034,35.164324,126.983252,堡林堡开矫 合备没,2020-06-30
146,陛邦悼035,35.165134,126.9830954,堡林堡开矫 合备没,2020-06-30
147,陛邦悼036,35.165566,126.982962,堡林堡开矫 合备没,2020-06-30
148,陛邦悼037,35.163437,126.982703,堡林堡开矫 合备没,2020-06-30
149,陛邦悼038,35.163118,126.982334,堡林堡开矫 合备没,2020-06-30
150,陛邦悼039,35.1640138,126.981985,堡林堡开矫 合备没,2020-06-30
151,陛邦悼040,35.165115,126.979973,堡林堡开矫 合备没,2020-06-30
152,陛邦悼041,35.165304,126.979629,堡林堡开矫 合备没,2020-06-30
153,陛邦悼042,35.166834,126.978358,堡林堡开矫 合备没,2020-06-30
154,陛邦悼043,35.164672,126.979582,堡林堡开矫 合备没,2020-06-30
155,陛邦悼044,35.164824,126.979393,堡林堡开矫 合备没,2020-06-30
156,陛邦悼045,35.164375,126.979618,堡林堡开矫 合备没,2020-06-30
157,陛邦悼046,35.164621,126.978814,堡林堡开矫 合备没,2020-06-30
158,陛邦悼047,35.164077,126.9794796,堡林堡开矫 合备没,2020-06-30
159,陛邦悼049,35.163312,126.979741,堡林堡开矫 合备没,2020-06-30
160,陛邦悼050,35.162962,126.979822,堡林堡开矫 合备没,2020-06-30
161,陛邦悼051,35.162593,126.979893,堡林堡开矫 合备没,2020-06-30
162,陛邦悼052,35.162188,126.979975,堡林堡开矫 合备没,2020-06-30
163,陛邦悼054,35.171057,126.999426,堡林堡开矫 合备没,2020-06-30
164,陛邦悼055,35.170856,126.997969,堡林堡开矫 合备没,2020-06-30
165,陛邦悼056,35.171239,126.997661,堡林堡开矫 合备没,2020-06-30
166,陛邦悼057,35.171861,126.997474,堡林堡开矫 合备没,2020-06-30
167,陛邦悼058,35.171511,126.997588,堡林堡开矫 合备没,2020-06-30
168,陛邦悼059,35.172158,126.997415,堡林堡开矫 合备没,2020-06-30
169,陛邦悼060,35.172672,126.997354,堡林堡开矫 合备没,2020-06-30
170,陛邦悼061,35.173131,126.997348,堡林堡开矫 合备没,2020-06-30
171,陛邦悼062,35.173651,126.997272,堡林堡开矫 合备没,2020-06-30
172,陛邦悼063,35.174085,126.997172,堡林堡开矫 合备没,2020-06-30
173,陛邦悼064,35.174973,126.997075,堡林堡开矫 合备没,2020-06-30
174,陛邦悼065,35.175068,126.997138,堡林堡开矫 合备没,2020-06-30
175,陛邦悼066,35.175535,126.996956,堡林堡开矫 合备没,2020-06-30
176,陛邦悼067,35.175993,126.996786,堡林堡开矫 合备没,2020-06-30
177,陛邦悼068,35.176433,126.996616,堡林堡开矫 合备没,2020-06-30
178,陛邦悼069,35.176865,126.996457,堡林堡开矫 合备没,2020-06-30
179,陛邦悼070,35.164779,126.9787818,堡林堡开矫 合备没,2020-06-30
180,陛邦悼071,35.1636807,126.9796343,堡林堡开矫 合备没,2020-06-30
181,陛邦悼072,35.1702329,126.9970222,堡林堡开矫 合备没,2020-06-30
182,穿巩悼001,35.155971,126.904848,堡林堡开矫 合备没,2020-06-30
183,穿巩悼002,35.155229,126.903621,堡林堡开矫 合备没,2020-06-30
184,穿巩悼003,35.154983,126.903182,堡林堡开矫 合备没,2020-06-30
185,穿巩悼004,35.155147,126.903421,堡林堡开矫 合备没,2020-06-30
186,穿巩悼005,35.1551098,126.903772,堡林堡开矫 合备没,2020-06-30
187,穿巩悼006,35.154873,126.904028,堡林堡开矫 合备没,2020-06-30
188,穿巩悼007,35.155155,126.904288,堡林堡开矫 合备没,2020-06-30
189,穿巩悼008,35.155362,126.9043948,堡林堡开矫 合备没,2020-06-30
190,穿巩悼009,35.155198,126.904024,堡林堡开矫 合备没,2020-06-30
191,穿巩悼010,35.155105,126.904782,堡林堡开矫 合备没,2020-06-30
192,穿巩悼011,35.155311,126.904659,堡林堡开矫 合备没,2020-06-30
193,穿巩悼012,35.155562,126.904491,堡林堡开矫 合备没,2020-06-30
194,穿巩悼013,35.155538,126.904842,堡林堡开矫 合备没,2020-06-30
195,穿巩悼014,35.155182,126.905286,堡林堡开矫 合备没,2020-06-30
196,穿巩悼015,35.154972,126.9049799,堡林堡开矫 合备没,2020-06-30
197,穿巩悼016,35.154744,126.904754,堡林堡开矫 合备没,2020-06-30
198,穿巩悼017,35.154477,126.905032,堡林堡开矫 合备没,2020-06-30
199,穿巩悼018,35.154684,126.905062,堡林堡开矫 合备没,2020-06-30
200,穿巩悼019,35.154395,126.904978,堡林堡开矫 合备没,2020-06-30
201,穿巩悼020,35.154517,126.904472,堡林堡开矫 合备没,2020-06-30
202,穿巩悼021,35.154784,126.904128,堡林堡开矫 合备没,2020-06-30
203,穿巩悼022,35.154347,126.904246,堡林堡开矫 合备没,2020-06-30
204,穿巩悼023,35.154267,126.904804,堡林堡开矫 合备没,2020-06-30
205,穿巩悼024,35.154009,126.905115,堡林堡开矫 合备没,2020-06-30
206,穿巩悼025,35.153522,126.905188,堡林堡开矫 合备没,2020-06-30
207,穿巩悼026,35.153796,126.905546,堡林堡开矫 合备没,2020-06-30
208,穿巩悼027,35.154128,126.905377,堡林堡开矫 合备没,2020-06-30
209,穿巩悼028,35.153673,126.905833,堡林堡开矫 合备没,2020-06-30
210,穿巩悼029,35.154033,126.905773,堡林堡开矫 合备没,2020-06-30
211,穿巩悼030,35.153864,126.906116,堡林堡开矫 合备没,2020-06-30
212,穿巩悼031,35.154074,126.906355,堡林堡开矫 合备没,2020-06-30
213,穿巩悼032,35.154293,126.906626,堡林堡开矫 合备没,2020-06-30
214,穿巩悼033,35.1556047,126.9047437,堡林堡开矫 合备没,2020-06-30
215,穿巩悼034,35.154287,126.905957,堡林堡开矫 合备没,2020-06-30
216,穿巩悼035,35.154327,126.905484,堡林堡开矫 合备没,2020-06-30
217,穿巩悼036,35.154435,126.905417,堡林堡开矫 合备没,2020-06-30
218,穿巩悼037,35.154406,126.906197,堡林堡开矫 合备没,2020-06-30
219,穿巩悼038,35.154503,126.905965,堡林堡开矫 合备没,2020-06-30
220,穿巩悼039,35.154647,126.905897,堡林堡开矫 合备没,2020-06-30
221,穿巩悼040,35.154597,126.906435,堡林堡开矫 合备没,2020-06-30
222,穿巩悼041,35.153197,126.909033,堡林堡开矫 合备没,2020-06-30
223,穿巩悼042,35.153481,126.9085581,堡林堡开矫 合备没,2020-06-30
224,穿巩悼043,35.153712,126.908225,堡林堡开矫 合备没,2020-06-30
225,穿巩悼044,35.1537641,126.908191,堡林堡开矫 合备没,2020-06-30
226,穿巩悼045,35.154037,126.908289,堡林堡开矫 合备没,2020-06-30
227,穿巩悼046,35.154188,126.908043,堡林堡开矫 合备没,2020-06-30
228,穿巩悼047,35.154047,126.908418,堡林堡开矫 合备没,2020-06-30
229,穿巩悼048,35.153996,126.907728,堡林堡开矫 合备没,2020-06-30
230,穿巩悼049,35.154352,126.907207,堡林堡开矫 合备没,2020-06-30
231,穿巩悼050,35.154574,126.907071,堡林堡开矫 合备没,2020-06-30
232,穿巩悼051,35.154832,126.906421,堡林堡开矫 合备没,2020-06-30
233,穿巩悼052,35.1548515,126.906597,堡林堡开矫 合备没,2020-06-30
234,穿巩悼053,35.154944,126.906848,堡林堡开矫 合备没,2020-06-30
235,穿巩悼054,35.154828,126.907047,堡林堡开矫 合备没,2020-06-30
236,穿巩悼055,35.154587,126.907336,堡林堡开矫 合备没,2020-06-30
237,穿巩悼056,35.154446,126.907634,堡林堡开矫 合备没,2020-06-30
238,穿巩悼057,35.155234,126.907096,堡林堡开矫 合备没,2020-06-30
239,穿巩悼058,35.155178,126.905846,堡林堡开矫 合备没,2020-06-30
240,穿巩悼059,35.155044,126.906034,堡林堡开矫 合备没,2020-06-30
241,穿巩悼060,35.155253,126.906207,堡林堡开矫 合备没,2020-06-30
242,穿巩悼061,35.155453,126.906347,堡林堡开矫 合备没,2020-06-30
243,穿巩悼062,35.1552519,126.905757,堡林堡开矫 合备没,2020-06-30
244,穿巩悼063,35.155347,126.905602,堡林堡开矫 合备没,2020-06-30
245,穿巩悼064,35.155472,126.905436,堡林堡开矫 合备没,2020-06-30
246,穿巩悼065,35.155757,126.905114,堡林堡开矫 合备没,2020-06-30
247,穿巩悼066,35.156077,126.905549,堡林堡开矫 合备没,2020-06-30
248,穿巩悼067,35.156232,126.905744,堡林堡开矫 合备没,2020-06-30
249,穿巩悼068,35.154329,126.907842,堡林堡开矫 合备没,2020-06-30
250,措锰悼001,35.236847,126.856466,堡林堡开矫 合备没,2020-06-30
251,措锰悼002,35.2373717,126.856089,堡林堡开矫 合备没,2020-06-30
252,措锰悼003,35.237426,126.855766,堡林堡开矫 合备没,2020-06-30
253,措锰悼004,35.237693,126.855411,堡林堡开矫 合备没,2020-06-30
254,措锰悼005,35.237899,126.855177,堡林堡开矫 合备没,2020-06-30
255,措锰悼006,35.238145,126.854515,堡林堡开矫 合备没,2020-06-30
256,措锰悼007,35.239161,126.853303,堡林堡开矫 合备没,2020-06-30
257,措锰悼008,35.236379,126.854671,堡林堡开矫 合备没,2020-06-30
258,措锰悼009,35.2367881,126.854624,堡林堡开矫 合备没,2020-06-30
259,措锰悼010,35.237009,126.854465,堡林堡开矫 合备没,2020-06-30
260,措锰悼011,35.237239,126.854099,堡林堡开矫 合备没,2020-06-30
261,措锰悼012,35.237373,126.853954,堡林堡开矫 合备没,2020-06-30
262,措锰悼013,35.237507,126.8538889,堡林堡开矫 合备没,2020-06-30
263,措锰悼014,35.237589,126.852907,堡林堡开矫 合备没,2020-06-30
264,措锰悼015,35.237311,126.853054,堡林堡开矫 合备没,2020-06-30
265,措锰悼016,35.237677,126.852664,堡林堡开矫 合备没,2020-06-30
266,措锰悼017,35.237765,126.852498,堡林堡开矫 合备没,2020-06-30
267,措锰悼018,35.237898,126.852255,堡林堡开矫 合备没,2020-06-30
268,措锰悼019,35.23809259,126.851483,堡林堡开矫 合备没,2020-06-30
269,措锰悼020,35.237697,126.851972,堡林堡开矫 合备没,2020-06-30
270,措锰悼021,35.236853,126.8532024,堡林堡开矫 合备没,2020-06-30
271,措锰悼022,35.236691,126.853261,堡林堡开矫 合备没,2020-06-30
272,措锰悼023,35.236697,126.853909,堡林堡开矫 合备没,2020-06-30
273,措锰悼024,35.236561,126.853889,堡林堡开矫 合备没,2020-06-30
274,措锰悼025,35.236017,126.854479,堡林堡开矫 合备没,2020-06-30
275,措锰悼026,35.235903,126.853843,堡林堡开矫 合备没,2020-06-30
276,措锰悼027,35.235919,126.853678,堡林堡开矫 合备没,2020-06-30
277,措锰悼028,35.236225,126.853542,堡林堡开矫 合备没,2020-06-30
278,措锰悼029,35.236354,126.852958,堡林堡开矫 合备没,2020-06-30
279,措锰悼030,35.236535,126.852043,堡林堡开矫 合备没,2020-06-30
280,措锰悼031,35.236895,126.851972,堡林堡开矫 合备没,2020-06-30
281,措锰悼032,35.236937,126.851697,堡林堡开矫 合备没,2020-06-30
282,措锰悼033,35.237039,126.851025,堡林堡开矫 合备没,2020-06-30
283,措锰悼034,35.237232,126.850462,堡林堡开矫 合备没,2020-06-30
284,措锰悼035,35.236529,126.852329,堡林堡开矫 合备没,2020-06-30
285,措锰悼036,35.235659,126.852847,堡林堡开矫 合备没,2020-06-30
286,措锰悼037,35.235803,126.852812,堡林堡开矫 合备没,2020-06-30
287,措锰悼038,35.237011,126.853729,堡林堡开矫 合备没,2020-06-30
288,措锰悼039,35.2366238,126.8550582,堡林堡开矫 合备没,2020-06-30
289,傣狼悼001,35.181043,126.994891,堡林堡开矫 合备没,2020-06-30
290,傣狼悼002,35.181156,126.994373,堡林堡开矫 合备没,2020-06-30
291,傣狼悼003,35.181467,126.993842,堡林堡开矫 合备没,2020-06-30
292,傣狼悼004,35.181779,126.993421,堡林堡开矫 合备没,2020-06-30
293,傣狼悼005,35.181882,126.992783,堡林堡开矫 合备没,2020-06-30
294,傣狼悼006,35.181707,126.992346,堡林堡开矫 合备没,2020-06-30
295,傣狼悼007,35.1814895,126.9919666,堡林堡开矫 合备没,2020-06-30
296,傣狼悼008,35.181902,126.989731,堡林堡开矫 合备没,2020-06-30
297,傣狼悼009,35.181969,126.989181,堡林堡开矫 合备没,2020-06-30
298,傣狼悼010,35.182143,126.988391,堡林堡开矫 合备没,2020-06-30
299,傣狼悼011,35.1817832,126.986951,堡林堡开矫 合备没,2020-06-30
300,傣狼悼012,35.182028,126.986447,堡林堡开矫 合备没,2020-06-30
301,傣狼悼014,35.181357,126.985994,堡林堡开矫 合备没,2020-06-30
302,傣狼悼015,35.181085,126.985778,堡林堡开矫 合备没,2020-06-30
303,傣狼悼016,35.180687,126.985662,堡林堡开矫 合备没,2020-06-30
304,傣狼悼017,35.180683,126.985157,堡林堡开矫 合备没,2020-06-30
305,傣狼悼018,35.180935,126.985187,堡林堡开矫 合备没,2020-06-30
306,傣狼悼019,35.181188,126.985227,堡林堡开矫 合备没,2020-06-30
307,傣狼悼020,35.180915,126.984912,堡林堡开矫 合备没,2020-06-30
308,傣狼悼021,35.181084,126.984625,堡林堡开矫 合备没,2020-06-30
309,傣狼悼022,35.180285,126.996798,堡林堡开矫 合备没,2020-06-30
310,傣狼悼023,35.180232,126.995955,堡林堡开矫 合备没,2020-06-30
311,傣狼悼025,35.180643,126.984729,堡林堡开矫 合备没,2020-06-30
312,傣狼悼026,35.180769,126.984739,堡林堡开矫 合备没,2020-06-30
313,傣狼悼027,35.180523,126.984379,堡林堡开矫 合备没,2020-06-30
314,傣狼悼028,35.180327,126.995448,堡林堡开矫 合备没,2020-06-30
315,傣狼悼029,35.1803916,126.9839506,堡林堡开矫 合备没,2020-06-30
316,傣狼悼030,35.180136,126.996239,堡林堡开矫 合备没,2020-06-30
317,傣狼悼031,35.1813253,126.9915118,堡林堡开矫 合备没,2020-06-30
318,傣狼悼032,35.1827702,126.9856159,堡林堡开矫 合备没,2020-06-30
319,傣狼悼033,35.1836666,126.9854455,堡林堡开矫 合备没,2020-06-30
320,傣狼悼034,35.1842451,126.984717,堡林堡开矫 合备没,2020-06-30
321,悼覆悼001,35.188014,126.868361,堡林堡开矫 合备没,2020-06-30
322,悼覆悼002,35.188157,126.868271,堡林堡开矫 合备没,2020-06-30
323,悼覆悼003,35.188428,126.868344,堡林堡开矫 合备没,2020-06-30
324,悼覆悼004,35.188538,126.868485,堡林堡开矫 合备没,2020-06-30
325,悼覆悼005,35.1882051,126.868638,堡林堡开矫 合备没,2020-06-30
326,悼覆悼006,35.188668,126.868879,堡林堡开矫 合备没,2020-06-30
327,悼覆悼007,35.188252,126.868796,堡林堡开矫 合备没,2020-06-30
328,悼覆悼008,35.187945,126.868735,堡林堡开矫 合备没,2020-06-30
329,悼覆悼009,35.1888248,126.8692098,堡林堡开矫 合备没,2020-06-30
330,悼覆悼010,35.1890747,126.8695868,堡林堡开矫 合备没,2020-06-30
331,悼覆悼011,35.1892696,126.8697885,堡林堡开矫 合备没,2020-06-30
332,悼覆悼012,35.1894374,126.8699684,堡林堡开矫 合备没,2020-06-30
333,悼覆悼013,35.1896595,126.8702029,堡林堡开矫 合备没,2020-06-30
334,悼覆悼014,35.1897865,126.8703502,堡林堡开矫 合备没,2020-06-30
335,悼覆悼015,35.1898238,126.8705915,堡林堡开矫 合备没,2020-06-30
336,悼覆悼016,35.1897986,126.8709487,堡林堡开矫 合备没,2020-06-30
337,悼覆悼017,35.189571,126.870996,堡林堡开矫 合备没,2020-06-30
338,悼覆悼018,35.189273,126.870901,堡林堡开矫 合备没,2020-06-30
339,悼覆悼019,35.188929,126.870807,堡林堡开矫 合备没,2020-06-30
340,悼覆悼020,35.188522,126.870648,堡林堡开矫 合备没,2020-06-30
341,悼覆悼021,35.188115,126.870544,堡林堡开矫 合备没,2020-06-30
342,悼覆悼022,35.187817,126.870461,堡林堡开矫 合备没,2020-06-30
343,悼覆悼023,35.187196,126.870491,堡林堡开矫 合备没,2020-06-30
344,悼覆悼024,35.186844,126.870496,堡林堡开矫 合备没,2020-06-30
345,悼覆悼025,35.186412,126.870535,堡林堡开矫 合备没,2020-06-30
346,悼覆悼026,35.187549,126.867223,堡林堡开矫 合备没,2020-06-30
347,悼覆悼027,35.187426,126.867172,堡林堡开矫 合备没,2020-06-30
